taxonID	parentNameUsageID	canonicalName	taxonRank
2393304	2393260	Polydactylus octonemus	species
2393272	2393260	Polydactylus oligodon	species
2393328	2393260	Polydactylus virginicus	species
2393108	2393107	Bathysphyraenops simplex	species
8311852	2393112	Howella atlantica	species
6168913	2392043	Paracaristius nudarcus	species
2389166	2389157	Bembrops gobioides	species
7706464	2392047	Platyberyx pietschi	species
7438830	2392047	Platyberyx paucus	species
7987396	2392047	Platyberyx andriashevi	species
2389203	2389202	Percophis brasiliensis	species
2400566	2400526	Regalecus glesne	species
2399410	2399401	Ariomma bondi	species
2399415	2399401	Ariomma melanum	species
2399405	2399401	Ariomma regulus	species
2389990	2389989	Ammodytes dubius	species
2415366	2415364	Saccopharynx harrisoni	species
2345554	2345552	Petrotyx sanguineus	species
5203040	2345779	Ophidion selenops	species
5203030	2345779	Ophidion holbrookii	species
5203038	2345779	Ophidion marginatum	species
5203024	2345779	Ophidion nocomis	species
5203046	2345779	Ophidion josephi	species
5203023	2345779	Ophidion grayi	species
5203042	2345779	Ophidion lagochila	species
2345724	2345703	Neobythites marginatus	species
2345660	2345659	Parophidion schmidti	species
2345666	2345665	Brotula barbata	species
2346029	2346023	Otophidium dormitator	species
2346024	2346023	Otophidium omostigma	species
2345605	2345591	Lepophidium jeannae	species
2345611	2345591	Lepophidium profundorum	species
2345601	2345591	Lepophidium brevibarbe	species
5203123	2346650	Megalops atlanticus	species
2391729	2391728	Rachycentron canadum	species
2393779	2371535	Scarus guacamaia	species
2393681	2371535	Scarus vetula	species
2393800	2371535	Scarus psittacus	species
2393722	2371535	Scarus fuscopurpureus	species
2393734	2371535	Scarus taeniopterus	species
2393577	2371535	Scarus ghobban	species
2393790	2371535	Scarus rubroviolaceus	species
2393773	2371535	Scarus scaber	species
2393733	2371535	Scarus zelindae	species
2393679	2371535	Scarus trispinosus	species
2393769	2371535	Scarus hoefleri	species
2393682	2371535	Scarus forsteni	species
2393654	2371535	Scarus iseri	species
2393443	2393442	Bolbometopon muricatum	species
5200941	9720698	Fistularia tabacaria	species
5200930	9720698	Fistularia corneta	species
5200931	9720698	Fistularia petimba	species
5200938	9720698	Fistularia commersonii	species
4285799	2393452	Nicholsina usta	species
2393870	2393853	Calotomus carolinus	species
2393922	2393893	Sparisoma axillare	species
5852347	2393893	Sparisoma rocha	species
2393936	2393893	Sparisoma tuiupiranga	species
2393900	2393893	Sparisoma chrysopterum	species
2393934	2393893	Sparisoma atomarium	species
2393918	2393893	Sparisoma aurofrenatum	species
2393905	2393893	Sparisoma cretense	species
2393899	2393893	Sparisoma frondosum	species
2393931	2393893	Sparisoma amplum	species
2393901	2393893	Sparisoma radians	species
2393551	2393550	Cryptotomus roseus	species
5788034	2393552	Cetoscarus ocellatus	species
5209736	2383891	Doratonotus megalepis	species
2383731	2383728	Labroides dimidiatus	species
2384140	2381823	Halichoeres penrosei	species
2384266	2381823	Halichoeres sazimai	species
5853038	2381823	Halichoeres rubrovirens	species
2384243	2381823	Halichoeres burekae	species
2384066	2381823	Halichoeres socialis	species
2384125	2381823	Halichoeres maculipinna	species
2384218	2381823	Halichoeres cyanocephalus	species
2384268	2381823	Halichoeres bivittatus	species
2384071	2381823	Halichoeres pictus	species
2384275	2381823	Halichoeres poeyi	species
2384111	2381823	Halichoeres radiatus	species
2384245	2381823	Halichoeres dimidiatus	species
2384162	2381823	Halichoeres garnoti	species
2384064	2381823	Halichoeres caudalis	species
2383638	2356955	Labrus merula	species
5212188	5962165	Chromis scotti	species
5212176	5962165	Chromis xanthura	species
5212245	5962165	Chromis atrilobata	species
5212165	5962165	Chromis jubauna	species
5212213	5962165	Chromis enchrysura	species
5212258	5962165	Chromis dimidiata	species
5212237	5962165	Chromis flavicauda	species
9724320	5962165	Chromis limbata	species
5212147	5962165	Chromis cyanea	species
5212207	5962165	Chromis insolata	species
5212222	5962165	Chromis multilineata	species
2398388	2380069	Pomacentrus coelestis	species
5209748	2384281	Clepticus brasiliensis	species
2398281	2380069	Pomacentrus simsiang	species
5209750	2384281	Clepticus parrae	species
2398350	2380069	Pomacentrus imitator	species
2383615	2383614	Tautoga onitis	species
2383313	2383304	Cheilinus undulatus	species
5212056	2357171	Amphiprion fuscocaudatus	species
5212106	2357171	Amphiprion ocellaris	species
5212054	2357171	Amphiprion chagosensis	species
5212067	2357171	Amphiprion latifasciatus	species
5212094	2357171	Amphiprion percula	species
5212081	2357171	Amphiprion clarkii	species
2398513	2398487	Amblyglyphidodon leucogaster	species
2383618	2383617	Lachnolaimus maximus	species
2398664	2398621	Abudefduf taurus	species
2398622	2398621	Abudefduf conformis	species
2398672	2398621	Abudefduf troschelii	species
2398623	2398621	Abudefduf saxatilis	species
2398657	2398621	Abudefduf bengalensis	species
2398669	2398621	Abudefduf sexfasciatus	species
2398634	2398621	Abudefduf vaigiensis	species
2383853	2383813	Cirrhilabrus laboutei	species
2398535	2398526	Neopomacentrus cyanomos	species
2398215	2398188	Dischistodus chrysopoecilus	species
5212047	5212030	Dascyllus aruanus	species
2383563	2383562	Parajulis poecilepterus	species
5209741	2383934	Decodon puellaris	species
2398848	2398767	Stegastes sanctipauli	species
9301972	2398767	Stegastes xanthurus	species
2398894	2398767	Stegastes planifrons	species
2398903	2398767	Stegastes leucostictus	species
2398843	2398767	Stegastes pictus	species
2398885	2398767	Stegastes variabilis	species
2398815	2398767	Stegastes acapulcoensis	species
2398866	2398767	Stegastes fuscus	species
2398786	2398767	Stegastes diencaeus	species
2398819	2398767	Stegastes flavilatus	species
2398881	2398767	Stegastes partitus	species
2398837	2398767	Stegastes otophorus	species
2398897	2398767	Stegastes adustus	species
2398808	2398767	Stegastes rocasensis	species
2384531	2384450	Thalassoma noronhanum	species
2384522	2384450	Thalassoma purpureum	species
2384480	2384450	Thalassoma lucasanum	species
2384474	2384450	Thalassoma quinquevittatum	species
2383055	2383029	Xyrichtys incandescens	species
2383046	2383029	Xyrichtys martinicensis	species
2383030	2383029	Xyrichtys splendens	species
2383057	2383029	Xyrichtys novacula	species
2384363	2384350	Oxycheilinus bimaculatus	species
2398754	2398746	Microspathodon frontatus	species
2383415	2383399	Stethojulis trilineata	species
5209707	2374818	Bodianus insularis	species
5209681	2374818	Bodianus pulchellus	species
5209721	2374818	Bodianus diplotaenia	species
2400459	2400458	Stylephorus chordatus	species
2396119	2396107	Omobranchus punctatus	species
2395741	2395734	Parablennius marmoreus	species
2395367	2395366	Coryphoblennius galerita	species
2395419	2395407	Petroscirtes thepassii	species
2395383	2395382	Lupinoblennius vinctus	species
2395386	2395382	Lupinoblennius nicholsi	species
5211359	2395181	Chasmodes saburrae	species
5211361	2395181	Chasmodes longimaxilla	species
5211360	2395181	Chasmodes bosquianus	species
5204104	2341074	Albula vulpes	species
2395534	2395530	Hypsoblennius invemar	species
2395533	2395530	Hypsoblennius exstochilus	species
2395566	2395530	Hypsoblennius hentz	species
2395564	2395530	Hypsoblennius ionthas	species
2395462	2395452	Lipophrys pholis	species
2395285	2395283	Ophioblennius trinitatis	species
2395296	2395283	Ophioblennius macclurei	species
2395660	2395626	Entomacrodus nigricans	species
2395658	2395626	Entomacrodus vomerinus	species
2395697	2395689	Hypleurochilus springeri	species
8221016	2395689	Hypleurochilus brasil	species
2395698	2395689	Hypleurochilus aequipinnis	species
2395702	2395689	Hypleurochilus bermudensis	species
2395696	2395689	Hypleurochilus pseudoaequipinnis	species
2395703	2395689	Hypleurochilus geminatus	species
2395700	2395689	Hypleurochilus multifilis	species
2395705	2395689	Hypleurochilus fissicornis	species
2395172	2395152	Scartella poiti	species
2395157	2395152	Scartella cristata	species
2413189	2413182	Etrumeus sadina	species
2384740	2356953	Lutjanus alexandrei	species
2385052	2356953	Lutjanus cyanopterus	species
2384981	2356953	Lutjanus analis	species
2384922	2356953	Lutjanus apodus	species
2384945	2356953	Lutjanus dentatus	species
2385129	2356953	Lutjanus kasmira	species
2384849	2356953	Lutjanus purpureus	species
2384856	2356953	Lutjanus vivanus	species
2385090	2356953	Lutjanus goreensis	species
2385124	2356953	Lutjanus guttatus	species
2384893	2356953	Lutjanus fulgens	species
2384837	2356953	Lutjanus synagris	species
2385023	2356953	Lutjanus mahogoni	species
2384960	2356953	Lutjanus buccanella	species
2385004	2356953	Lutjanus argentiventris	species
2384948	2356953	Lutjanus jocu	species
2384832	2356953	Lutjanus goldiei	species
2385008	2356953	Lutjanus ehrenbergii	species
2384986	2356953	Lutjanus griseus	species
2384865	2356953	Lutjanus campechanus	species
2385115	2356953	Lutjanus coeruleolineatus	species
5211975	2397970	Istiophorus albicans	species
5211984	2397970	Istiophorus platypterus	species
2397962	7659357	Tetrapturus georgii	species
2397959	7659357	Tetrapturus pfluegeri	species
2384721	2384720	Rhomboplites aurorubens	species
2385178	2374812	Pristipomoides aquilonaris	species
2385189	2374812	Pristipomoides macrophthalmus	species
5209891	2385144	Apsilus dentatus	species
4285895	2397862	Kajikia albida	species
2385135	2385133	Etelis coruscans	species
2385140	2385133	Etelis oculatus	species
2385282	2385281	Ocyurus chrysurus	species
2385207	2385206	Macolor niger	species
2384695	2384694	Symphorichthys spilurus	species
2346816	2346806	Ichthyococcus polli	species
2346829	2346827	Vinciguerria lucetia	species
2346841	2346827	Vinciguerria nimbaria	species
2346825	2346824	Pollichthys mauli	species
2346772	2346771	Polymetme corythaeola	species
2346804	2346803	Phosichthys argenteus	species
2346420	2346419	Snyderidia canina	species
2346513	2346497	Echiodon dawsoni	species
5203082	5428770	Carapus bermudensis	species
2395023	2395022	Sphyraenops bairdianus	species
2395056	2395026	Epigonus denticulatus	species
